fund_code,exchange,broker,account_status,verified_date,verification_method,verification_note
510050,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金客户端搜索成功（人工验证）
510100,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金客户端搜索成功（人工验证）
510190,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金客户端搜索成功（人工验证）
510300,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金客户端搜索成功（人工验证）
510310,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金客户端搜索成功（人工验证）
510320,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金客户端搜索成功（人工验证）
510330,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金客户端搜索成功（人工验证）
510350,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金客户端搜索成功（人工验证）
510360,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金客户端搜索成功（人工验证）
510370,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金客户端搜索成功（人工验证）
510380,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金客户端搜索成功（人工验证）
510390,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金客户端搜索成功（人工验证）
510500,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金佣金宝搜索代码成功
510600,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金客户端搜索成功（人工验证）
510680,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金客户端搜索成功（人工验证）
510710,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金客户端搜索成功（人工验证）
510800,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金客户端搜索成功（人工验证）
510850,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金客户端搜索成功（人工验证）
510880,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金佣金宝搜索代码成功
510950,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金客户端搜索成功（人工验证）
511880,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金佣金宝搜索代码成功
512010,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金客户端搜索成功（人工验证）
512070,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金客户端搜索成功（人工验证）
512100,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金佣金宝搜索代码成功
512170,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金客户端搜索成功（人工验证）
512200,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金客户端搜索成功（人工验证）
512260,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金客户端搜索成功（人工验证）
512290,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金客户端搜索成功（人工验证）
512530,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金客户端搜索成功（人工验证）
512570,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金客户端搜索成功（人工验证）
512700,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金客户端搜索成功（人工验证）
512710,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金客户端搜索成功（人工验证）
512800,SSE,guojin,VERIFIED_TRADABLE,2026-07-22,manual_app_search,国金客户端搜索成功（人工验证）
